UKBID,everCpDK_count,everCpDC_count,detectedK_UKBID,detectedC_UKBID,detectedCK_UKBID
P02794,2.0,0.0,True,False,False
P02795,3.0,1.0,True,True,True
P03951,1.0,0.0,True,False,False
P04040,2.0,1.0,True,True,True
P04049,1.0,3.0,True,True,True
P04062,1.0,2.0,True,True,True
P04075,14.0,6.0,True,True,True
P04080,3.0,0.0,True,False,False
P04083,16.0,4.0,True,True,True
P04114,1.0,0.0,True,False,False
P04179,4.0,1.0,True,True,True
P04181,10.0,3.0,True,True,True
P04183,5.0,4.0,True,True,True
P04233,1.0,0.0,True,False,False
P04424,2.0,0.0,True,False,False
P04632,4.0,3.0,True,True,True
P04637,5.0,2.0,True,True,True
P04792,6.0,0.0,True,False,False
P04818,2.0,3.0,True,True,True
P04843,2.0,2.0,True,True,True
P04920,1.0,0.0,True,False,False
P05023,1.0,2.0,True,True,True
P05060,1.0,0.0,True,False,False
P05067,1.0,1.0,True,True,True
P05121,4.0,0.0,True,False,False
P05141,9.0,2.0,True,True,True
P05161,2.0,1.0,True,True,True
P05198,7.0,2.0,True,True,True
P05204,1.0,0.0,True,False,False
P05386,2.0,1.0,True,True,True
P05387,3.0,0.0,True,False,False
P05388,8.0,3.0,True,True,True
P05455,7.0,2.0,True,True,True
P05783,15.0,0.0,True,False,False
P05787,16.0,0.0,True,False,False
P06132,3.0,2.0,True,True,True
P06280,1.0,1.0,True,True,True
P06396,7.0,0.0,True,False,False
P06400,1.0,5.0,True,True,True
P06454,2.0,0.0,True,False,False
P06493,10.0,1.0,True,True,True
P06576,6.0,0.0,True,False,False
P06703,5.0,0.0,True,False,False
P06730,5.0,3.0,True,True,True
P06733,24.0,3.0,True,True,True
P06737,4.0,1.0,True,True,True
P06744,17.0,1.0,True,True,True
P06748,15.0,1.0,True,True,True
P07099,3.0,0.0,True,False,False
P07108,3.0,0.0,True,False,False
P07195,11.0,4.0,True,True,True
P07203,2.0,4.0,True,True,True
P07237,26.0,6.0,True,True,True
P07311,3.0,0.0,True,False,False
P07339,13.0,3.0,True,True,True
P07355,10.0,3.0,True,True,True
P07384,1.0,3.0,True,True,True
P07437,7.0,8.0,True,True,True
P07602,9.0,3.0,True,True,True
P07686,4.0,0.0,True,False,False
P07711,1.0,0.0,True,False,False
P07737,8.0,2.0,True,True,True
P07741,1.0,3.0,True,True,True
P07814,6.0,11.0,True,True,True
P07858,7.0,4.0,True,True,True
P07900,29.0,7.0,True,True,True
P07910,3.0,0.0,True,False,False
P07919,1.0,1.0,True,True,True
P07951,1.0,0.0,True,False,False
P07954,15.0,2.0,True,True,True
P07996,1.0,3.0,True,True,True
P08133,4.0,3.0,True,True,True
P08134,4.0,5.0,True,True,True
P08237,2.0,2.0,True,True,True
P08240,1.0,3.0,True,True,True
P08243,7.0,4.0,True,True,True
P08397,4.0,1.0,True,True,True
P08559,4.0,6.0,True,True,True
P08572,1.0,0.0,True,False,False
P08574,1.0,1.0,True,True,True
P08579,5.0,0.0,True,False,False
P08621,1.0,1.0,True,True,True
P08670,17.0,1.0,True,True,True
P08727,7.0,0.0,True,False,False
